1,10,0.01,-3,10,0.80933333333334
1,20,0.01,-3,10,0.82
1,40,0.01,-3,10,0.82466666666667
1,80,0.01,-3,10,0.822
1,100,0.01,-3,10,0.834
2,10,0.01,-3,10,0.68466666666667
2,20,0.01,-3,10,0.69
2,40,0.01,-3,10,0.684
2,80,0.01,-3,10,0.698
2,100,0.01,-3,10,0.684
4,10,0.01,-3,10,0.468
4,20,0.01,-3,10,0.44666666666667
4,40,0.01,-3,10,0.44133333333333
4,80,0.01,-3,10,0.43533333333333
4,100,0.01,-3,10,0.43866666666667
8,10,0.01,-3,10,0.29066666666667
8,20,0.01,-3,10,0.27
8,40,0.01,-3,10,0.25266666666667
8,80,0.01,-3,10,0.25533333333333
8,100,0.01,-3,10,0.26466666666667
16,10,0.01,-3,10,0.188
16,20,0.01,-3,10,0.14466666666667
16,40,0.01,-3,10,0.142
16,80,0.01,-3,10,0.134
16,100,0.01,-3,10,0.13666666666667
32,10,0.01,-3,10,0.13333333333333
32,20,0.01,-3,10,0.088
32,40,0.01,-3,10,0.079333333333333
32,80,0.01,-3,10,0.072666666666666
32,100,0.01,-3,10,0.068666666666666
64,10,0.01,-3,10,0.12133333333333
64,20,0.01,-3,10,0.086
64,40,0.01,-3,10,0.068
64,80,0.01,-3,10,0.053333333333333
64,100,0.01,-3,10,0.061333333333333
128,10,0.01,-3,10,0.13733333333333
128,20,0.01,-3,10,0.078666666666667
128,40,0.01,-3,10,0.059333333333333
128,80,0.01,-3,10,0.058666666666667
128,100,0.01,-3,10,0.059333333333333
256,10,0.01,-3,10,0.12533333333333
256,20,0.01,-3,10,0.072
256,40,0.01,-3,10,0.052666666666667
256,80,0.01,-3,10,0.051333333333333
256,100,0.01,-3,10,0.046666666666667
512,10,0.01,-3,10,0.13266666666667
512,20,0.01,-3,10,0.074666666666667
512,40,0.01,-3,10,0.061333333333333
512,80,0.01,-3,10,0.064
512,100,0.01,-3,10,0.058
617,10,0.01,-3,10,0.17466666666667
617,20,0.01,-3,10,0.08
617,40,0.01,-3,10,0.065333333333333
617,80,0.01,-3,10,0.057333333333333
617,100,0.01,-3,10,0.062666666666667
